,Title,Release Year,Genres,Rating,Votes,Story
75,Ghoomer,2023,"Drama, Sport",8.6,"8,536","Anina, a young batting prodigy, loses her right hand in an accident. An unsympathetic, failed cricketer gives her new hope, trains her with unconventional techniques, to turn her fate around. Ghoomer is a new style of bowling they invent."
76,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Fantasy",3.7,"25,075
| Gross","When a child, Chun-Li sees her father being captured by wealthy gangster Bison. When she grows up, she goes into a quest for justice and bring down the criminal organization Shadaloo which is led by Bison."
77,Sardar Udham,2021,"Biography, Crime, Drama",8.4,"45,431","A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
78,Mrs. Chatterjee vs. Norway,2023,"Biography, Drama",7.3,"8,914",An immigrant Indian mother's battle against the Norwegian foster care system and local legal machinery to win back the custody of her children.
79,Lagaan: Once Upon a Time in India,2001,"Drama, Musical, Sport",8.1,"118,487
| Gross",The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.
80,Bloody Daddy,2023,"Action, Crime, Drama",6.6,"17,181","A messed up, tenacious man faces off against cops and crime lords to save the one relationship that matters to him."
81,Gumraah,2023,"Action, Crime, Drama",6.4,"5,155",The murder investigation of a young man takes an unexpected turn when the cops discover that the prime suspect has a lookalike.
82,"Monica, O My Darling",2022,"Comedy, Crime, Drama",7.4,"19,920","A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be."
83,Tu Jhoothi Main Makkaar,2023,"Comedy, Romance",6.0,"25,013","Madness ensues when a 'player' in the world of romantic relationships finds a girl who's a worthy opponent, that believes love is a battle of wits."
84,The Lunchbox,2013,"Drama, Romance",7.8,"59,499
| Gross",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
85,Rockstar,2011,"Drama, Music, Romance",7.7,"47,249
| Gross","Janardhan Jakhar chases his dreams of becoming a big Rock star, during which he falls in love with Heer."
86,The Great Indian Family,2023,Family,7.5,"4,604","Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth."
87,Adipurush,2023,"Action, Adventure, Drama",3.4,"130,573",A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the raakshash king Lankesh.
88,Chup,2022,"Crime, Drama, Mystery",7.6,"24,345",A crime thriller in which police are on the hunt for a killer who is targeting film critics.
89,Haddi,2023,"Crime, Drama",6.3,"4,549","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?"
90,Agra,2023,Drama,7.2,28,A family and an exploration of space in an increasingly crowded world. It follows the quest for a sexual odyssey of an individual.
91,Bawaal,2023,"Action, Drama, Romance",6.6,"14,773",A small-town man who falls in love with the most beautiful girl in town. He wants to marry her one day because marrying her can raise his social position.
92,Gangubai Kathiawadi,2022,"Biography, Crime, Drama",7.8,"59,711","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in."
93,Lust Stories 2,2023,"Drama, Romance",6.5,"50,619","Four eminent Indian directors explore sex, desire and love through short films in this sequel to 2018's Emmy-nominated ""Lust Stories""."
94,Pushpa: The Rise - Part 1,2021,"Action, Crime, Drama",7.6,"83,286","A labourer rises through the ranks of a red sandal smuggling syndicate, making some powerful enemies in the process."
95,Zara Hatke Zara Bachke,2023,"Comedy, Drama, Family",6.5,"8,641","Kapil and Somya are a happily married couple from Indore who live in a joint family and decide to get a divorce one fine day. Things don't go as planned as their family gets to know of it, and thus begins a comedy of errors."
96,The Archies,2023,"Comedy, Drama, Musical",NaN,NaN,"Set in the 1960s, based on Archie Comics that finds Indian actors taking on the beloved characters. An experience bursting with youth, rebellion, friendships, first loves, and everything young adult."
97,Sanju,2018,"Biography, Comedy, Drama",7.6,"58,667
| Gross","Biopic of the controversial life of actor Sanjay Dutt: his film career, jail sentence, and personal life."
98,Vikram Vedha,2017,"Action, Crime, Drama",8.2,"49,217","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
99,Dangerous,2022,"Action, Crime, Drama",5.1,"1,077",Dangerous is a story of two women who have some bad experiences with men and in due course passionately fall in love with each other. The film's story proceeds with how violently they fight...                See full summary »
100,An Action Hero,2022,"Action, Comedy, Crime",7.0,"31,135","Youth Icon. Superstar. Action Hero. At the age of just 30, Maanav was at the peak of his career when he got caught up in an accident while filming in Haryana. Maanav, who was once a household name, is now living in hiding."
101,Brahmastra Part One: Shiva,2022,"Action, Adventure, Fantasy",5.6,"110,114","A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them."
102,Ludo,2020,"Action, Comedy, Crime",7.6,"42,354","From a resurfaced sex tape to a rogue suitcase of money, four wildly different stories overlap at the whims of fate, chance and one eccentric criminal."
103,Gadar: Ek Prem Katha,2001,"Action, Drama, Romance",7.3,"15,196","During the Partition of India in 1947, a Sikh truck driver falls in love with a Muslim girl belonging to an aristocratic family."
104,Bulbbul,2020,"Drama, Horror, Mystery",6.5,"13,453","A man returns home after years to find his brother's child bride now grown up and abandoned, and his ancestral village plagued by mysterious deaths."
105,Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",8.0,"74,795","When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt."
106,Kuch Kuch Hota Hai,1998,"Comedy, Drama, Musical",7.5,"55,739
| Gross","During their college years, Anjali was in love with her best-friend Rahul, but he had eyes only for Tina. Years later, Rahul and the now-deceased Tina's eight-year-old daughter attempts to reunite her father and Anjali."
