Rank,Major,Degree Type,Early Career Pay,Mid-Career Pay,% High Meaning
65,Business & Information Technology (IT),Bachelors,"$71,400","$134,700",50%
66,Interactive Media Design,Bachelors,"$59,600","$134,400",33%
67,Energy Management,Bachelors,"$70,100","$134,100",66%
67,Physics,Bachelors,"$75,500","$134,100",49%
69,Materials Engineering,Bachelors,"$81,200","$133,900",58%
70,Biomedical Engineering (BME),Bachelors,"$80,300","$133,500",71%
71,Industrial Engineering (IE),Bachelors,"$80,500","$133,400",44%
71,Software Engineering,Bachelors,"$84,200","$133,400",45%
73,Global & International Studies,Bachelors,"$59,400","$133,300",55%
74,Computer & Information Science,Bachelors,"$72,600","$133,100",58%
75,Aeronautical/Aerospace Engineering Technology,Bachelors,"$82,400","$132,800",51%
76,Economics and Mathematics,Bachelors,"$77,100","$132,700",38%
76,Industrial Hygiene,Bachelors,"$65,100","$132,700",54%
78,Engineering Mechanics,Bachelors,"$82,800","$131,900",-
79,Business & Economics,Bachelors,"$66,500","$131,700",44%
80,Astrophysics,Bachelors,"$78,600","$131,200",61%
81,Electronics Engineering,Bachelors,"$77,700","$130,900",65%
81,Telecommunications Engineering,Bachelors,"$78,000","$130,900",50%
83,International Business & Finance,Bachelors,"$69,000","$130,800",30%
84,International Economics,Bachelors,"$66,200","$130,600",54%
85,Business Analysis,Bachelors,"$71,000","$130,300",47%
85,Management Science,Bachelors,"$73,000","$130,300",43%
85,Mechanical Engineering (ME),Bachelors,"$79,600","$130,300",49%
88,Economics,Bachelors,"$70,500","$130,200",41%
89,Ceramic Engineering,Bachelors,"$76,400","$129,900",46%
90,Management Information Systems (MIS),Bachelors,"$73,900","$129,500",42%
91,Industrial Distribution,Bachelors,"$71,400","$129,200",48%
92,Structural Engineering (SE),Bachelors,"$76,200","$128,900",67%
93,Accounting & Taxation,Bachelors,"$61,900","$128,600",-
94,Integrated Science & Technology,Bachelors,"$71,600","$128,400",55%
95,Automotive Engineering,Bachelors,"$75,700","$128,300",50%
96,Mathematics & Statistics,Bachelors,"$71,800","$128,100",43%
97,Packaging Science,Bachelors,"$78,600","$127,600",41%
98,Construction Project Management,Bachelors,"$69,400","$127,400",64%
99,Plastics Engineering,Bachelors,"$79,200","$127,200",58%
100,Information & Decision Sciences,Bachelors,"$73,200","$126,800",36%
101,Applied Physics,Bachelors,"$75,800","$126,500",53%
102,Building Construction (BC),Bachelors,"$73,200","$125,900",51%
102,Petroleum Land Management,Bachelors,"$66,600","$125,900",-
104,Industrial Engineering & Management,Bachelors,"$74,800","$125,700",54%
105,Accounting & Economics,Bachelors,"$74,500","$125,400",48%
105,Psychobiology,Bachelors,"$58,600","$125,400",69%
107,Finance & Economics,Bachelors,"$70,300","$124,800",42%
108,Medicine,Bachelors,"$88,700","$124,700",94%
109,Asian Studies,Bachelors,"$53,100","$123,800",43%
110,Marketing & International Business,Bachelors,"$59,600","$123,500",36%
111,Government,Bachelors,"$63,500","$123,400",45%
112,Business Computer Information Systems (BCIS),Bachelors,"$74,200","$123,300",40%
112,Finance & Real Estate,Bachelors,"$73,500","$123,300",42%
114,Biochemistry & Molecular Biology,Bachelors,"$61,700","$123,100",70%
114,Environmental Health & Safety Management,Bachelors,"$67,500","$123,100",61%
114,Financial Economics,Bachelors,"$70,500","$123,100",36%
117,Business Economics,Bachelors,"$66,500","$122,800",45%
117,Nuclear Engineering Technology (NET),Bachelors,"$92,500","$122,800",54%
119,Mathematics,Bachelors,"$72,300","$122,700",44%
120,Civil Engineering (CE),Bachelors,"$73,400","$122,600",65%
121,Business Information Systems,Bachelors,"$73,800","$122,200",45%
121,Information Systems Management,Bachelors,"$69,500","$122,200",48%
121,Polymer Science & Engineering,Bachelors,"$82,900","$122,200",-
124,Information Security & Assurance,Bachelors,"$70,000","$122,000",42%
124,Applied Economics,Bachelors,"$69,200","$122,000",41%
126,International Management,Bachelors,"$63,100","$121,900",42%
126,Political Communication,Bachelors,"$56,000","$121,900",51%
126,Economics & Political Science,Bachelors,"$64,200","$121,900",46%
129,Accounting & Computer Systems,Bachelors,"$75,400","$121,800",-
129,Civil & Environmental Engineering,Bachelors,"$73,500","$121,800",66%
129,Construction Management,Bachelors,"$71,800","$121,800",59%
129,Construction Science,Bachelors,"$77,500","$121,800",67%
133,Control Engineering,Bachelors,"$77,700","$121,700",59%
134,Russian Studies,Bachelors,"$56,500","$121,600",41%
135,Cybersecurity,Bachelors,"$72,600","$121,500",56%
136,Robotics & Automation,Bachelors,"$72,700","$121,200",69%
137,Computer Management Information Systems (CMIS),Bachelors,"$63,900","$121,100",50%
138,Aeronautical Science,Bachelors,"$64,200","$121,000",62%
138,Manufacturing Engineering,Bachelors,"$77,500","$121,000",50%
140,Information Systems (IS),Bachelors,"$73,000","$120,600",45%
141,Engineering Management,Bachelors,"$77,400","$120,500",53%
142,Computing & Information Systems (CIS),Bachelors,"$68,900","$120,000",46%
143,Mechanical,Bachelors,"$79,800","$119,900",41%
144,Business Logistics & Transportation,Bachelors,"$64,700","$119,800",42%
145,Biosystems Engineering,Bachelors,"$72,600","$119,500",69%
146,Agricultural Economics,Bachelors,"$61,700","$119,400",57%
147,Data Processing,Bachelors,"$73,700","$119,300",42%
147,Food Marketing,Bachelors,"$65,000","$119,300",29%
147,Geophysics,Bachelors,"$62,700","$119,300",42%
150,Management & Finance,Bachelors,"$64,100","$118,800",61%
151,Business Finance,Bachelors,"$65,200","$118,600",44%
151,Construction Engineering,Bachelors,"$75,700","$118,600",60%
151,Organic Chemistry,Bachelors,"$50,600","$118,600",-
154,Real Estate,Bachelors,"$69,400","$118,500",42%
155,Finance,Bachelors,"$68,500","$118,400",42%
155,Plastics Engineering Technology,Bachelors,"$73,600","$118,400",34%
157,European Studies,Bachelors,"$60,900","$118,100",41%
157,Safety Science,Bachelors,"$70,000","$118,100",68%
159,Computer Science & Information Technology,Bachelors,"$73,500","$118,000",48%
160,Japanese Language,Bachelors,"$59,900","$117,900",39%
161,Information Sciences and Technology,Bachelors,"$72,900","$117,800",45%
161,International Business,Bachelors,"$63,100","$117,800",40%
163,Architectural Engineering,Bachelors,"$74,600","$117,700",57%
164,International Marketing,Bachelors,"$66,700","$117,600",25%
164,Molecular Biology,Bachelors,"$61,700","$117,600",66%
166,Building Construction Management,Bachelors,"$70,500","$117,500",67%
167,Business Operations,Bachelors,"$71,300","$117,400",-
168,Computer Information Systems (CIS),Bachelors,"$69,400","$117,300",47%
168,Electrical Engineering Technology (EET),Bachelors,"$74,000","$117,300",48%
170,Government & International Politics (GVIP),Bachelors,"$58,100","$117,200",44%
171,Information Security,Bachelors,"$75,000","$117,100",40%
172,East Asian Studies,Bachelors,"$57,500","$116,900",49%
173,Strategic Management,Bachelors,"$74,900","$116,700",48%
174,Labor Relations,Bachelors,"$55,700","$116,600",35%
175,Entrepreneurship & Leadership,Bachelors,"$64,300","$116,400",43%
176,Agricultural Engineering (AE),Bachelors,"$71,500","$116,300",62%
177,Information Technology Management,Bachelors,"$71,900","$116,100",48%
177,International Relations,Bachelors,"$60,500","$116,100",49%
179,Financial Planning,Bachelors,"$61,200","$115,800",59%
180,Computer Engineering Technology (CET),Bachelors,"$71,100","$115,700",45%
180,Corporate Finance,Bachelors,"$72,400","$115,700",40%
182,Engineering Science,Bachelors,"$77,500","$115,600",47%
183,European History,Bachelors,"$59,400","$115,500",41%
184,Rhetoric,Bachelors,"$59,300","$114,900",41%
185,Network Engineering,Bachelors,"$69,400","$114,600",51%
186,Mechanical Design,Bachelors,"$68,400","$114,500",50%
187,Environmental Engineering,Bachelors,"$70,400","$114,400",62%
188,Chinese Language,Bachelors,"$61,000","$114,000",42%
188,Robotics,Bachelors,"$87,900","$114,000",57%
190,Economics & Management,Bachelors,"$61,500","$113,800",47%
191,Computing,Bachelors,"$71,300","$113,600",55%
191,Product Design,Bachelors,"$70,000","$113,600",38%
193,Mechanical Engineering Technology (MET),Bachelors,"$72,300","$113,200",48%
194,Industrial & Labor Relations,Bachelors,"$77,000","$113,000",44%
195,Food Science & Technology,Bachelors,"$59,800","$112,800",49%
196,Accounting & Auditing,Bachelors,"$65,400","$112,700",44%
197,Biochemistry (BCH),Bachelors,"$57,100","$112,600",64%
198,Accounting & Finance,Bachelors,"$66,900","$112,500",46%
198,Agricultural Economics & Business,Bachelors,"$62,100","$112,500",56%
198,Engineering Technology (ET),Bachelors,"$65,800","$112,500",49%
198,Biotechnology,Bachelors,"$61,100","$112,500",62%
202,Dairy Science,Bachelors,"$57,700","$112,200",67%
202,Operations Management (OM),Bachelors,"$69,700","$112,200",44%
202,Web Development,Bachelors,"$61,600","$112,200",43%
205,Industrial Management,Bachelors,"$65,200","$111,900",51%
205,Information Assurance,Bachelors,"$61,600","$111,900",60%
205,Telecommunication & Information Management,Bachelors,"$66,800","$111,900",42%
208,Environmental Policy Analysis & Planning,Bachelors,"$58,200","$111,600",67%
208,Pharmaceutical Sciences (PS),Bachelors,"$60,900","$111,600",69%
210,Aviation,Bachelors,"$65,000","$111,400",52%
210,Business & Marketing,Bachelors,"$59,000","$111,400",46%
210,Computer Networking Systems,Bachelors,"$64,000","$111,400",48%
210,Organizational Behavior,Bachelors,"$63,500","$111,400",56%
214,Consumer Economics,Bachelors,"$60,600","$111,300",46%
214,Information Technology (IT),Bachelors,"$67,800","$111,300",46%
214,Sales & Business Marketing,Bachelors,"$63,900","$111,300",55%
217,Aviation Management,Bachelors,"$58,000","$111,200",56%
217,Informatics,Bachelors,"$78,700","$111,200",46%
219,Industrial Safety,Bachelors,"$59,400","$111,100",82%
219,Structural Design & Construction Engineering Technology,Bachelors,"$77,000","$111,100",48%
221,Computer Security,Bachelors,"$76,500","$110,800",43%
221,Hotel Administration,Bachelors,"$76,800","$110,800",37%
221,Software Applications & Programming,Bachelors,"$71,400","$110,800",33%
224,Occupational Health and Safety,Bachelors,"$66,800","$110,700",69%
225,Database Management,Bachelors,"$74,500","$110,600",-
226,Business Technology Management,Bachelors,"$69,600","$110,400",41%
226,Production Management,Bachelors,"$55,800","$110,400",27%
228,Business & Finance,Bachelors,"$63,600","$109,800",54%
229,Environmental Health & Safety,Bachelors,"$64,800","$109,600",66%
229,Information Technology (IT) & Systems,Bachelors,"$70,400","$109,600",47%
229,Telecommunications Management,Bachelors,"$60,600","$109,600",46%
232,Electronics Engineering Technology (EET),Bachelors,"$72,600","$109,300",51%
232,Marketing & Management,Bachelors,"$57,700","$109,300",47%
232,Operations & Supply Chain Management,Bachelors,"$69,300","$109,300",45%
232,Physical Therapy,Bachelors,"$54,900","$109,300",88%
232,Politics,Bachelors,"$59,500","$109,300",51%
237,Physics & Astronomy,Bachelors,"$63,700","$109,200",33%
238,Agribusiness,Bachelors,"$57,600","$109,000",53%
238,Chemistry,Bachelors,"$58,500","$109,000",56%
238,Finance & Banking,Bachelors,"$62,600","$109,000",47%
241,Aviation Flight Science (AFL),Bachelors,"$61,500","$108,800",49%
242,Construction Science & Management,Bachelors,"$73,800","$108,600",75%
243,Marketing,Bachelors,"$58,200","$108,400",41%
244,Cell Biology,Bachelors,"$56,800","$108,100",55%
244,Civil Engineering Technology (CET),Bachelors,"$66,000","$108,100",61%
244,Genetics,Bachelors,"$61,200","$108,100",72%
247,Government & Politics,Bachelors,"$59,500","$107,800",51%
248,Biopsychology,Bachelors,"$60,300","$107,500",74%
248,Applied Networking & Systems Administration,Bachelors,"$67,200","$107,500",44%
250,Industrial Technology (IT),Bachelors,"$71,700","$107,400",50%
251,Geological Engineering,Bachelors,"$68,400","$107,200",51%
251,Real Estate Development,Bachelors,"$66,600","$107,200",-
253,Accounts,Bachelors,"$67,100","$107,100",44%
253,Electromechanical Engineering,Bachelors,"$79,100","$107,100",56%
255,Risk Management,Bachelors,"$68,500","$107,000",37%
255,Social Ecology,Bachelors,"$55,400","$107,000",-
257,Microbiology & Immunology,Bachelors,"$63,500","$106,800",74%
258,French Literature,Bachelors,"$53,900","$106,600",50%
259,City & Regional Planning,Bachelors,"$58,600","$106,500",70%
259,Construction Technology,Bachelors,"$71,500","$106,500",-
259,Italian Language,Bachelors,"$56,600","$106,500",40%
259,Marketing Communication,Bachelors,"$52,200","$106,500",42%
263,Business Management & Marketing,Bachelors,"$56,900","$106,400",45%
263,Industrial Design (ID),Bachelors,"$62,900","$106,400",40%
265,Marketing & Communications,Bachelors,"$56,400","$106,300",46%
266,Political Science,Bachelors,"$57,700","$106,200",47%
267,Advertising Design,Bachelors,"$58,000","$106,100",32%
267,Manufacturing Management,Bachelors,"$72,300","$106,100",48%
269,Computer Information Systems,Bachelors,"$65,100","$106,000",45%
269,Network Security,Bachelors,"$68,000","$106,000",52%
269,Risk Management & Insurance,Bachelors,"$67,400","$106,000",46%
272,Comparative Literature,Bachelors,"$53,600","$105,800",49%
272,Sales & Marketing,Bachelors,"$61,100","$105,800",49%
274,Welding Engineering Technology,Bachelors,"$82,700","$105,600",42%
275,Philosophy,Bachelors,"$60,500","$105,500",42%
275,Networks & Telecommunications,Bachelors,"$61,600","$105,500",49%
275,Business Data Analysis,Bachelors,"$72,600","$105,500",39%
278,Environmental Science & Policy,Bachelors,"$56,600","$105,400",58%
278,German Language,Bachelors,"$59,000","$105,400",43%
278,Japanese Studies,Bachelors,"$58,000","$105,400",21%
281,Atmospheric Science,Bachelors,"$55,700","$105,200",55%
281,Business Psychology,Bachelors,"$58,000","$105,200",-
281,Digital Design,Bachelors,"$56,400","$105,200",39%
281,International Development Studies,Bachelors,"$53,700","$105,200",62%
285,Accounting,Bachelors,"$62,100","$105,100",41%
286,Spanish Literature,Bachelors,"$57,900","$105,000",49%
286,Technical Communication,Bachelors,"$55,600","$105,000",42%
288,Computer Programming,Bachelors,"$67,000","$104,800",47%
289,Architecture,Bachelors,"$58,000","$104,500",52%
289,Project Management,Bachelors,"$64,400","$104,500",56%
291,Hotel Management,Bachelors,"$55,900","$104,200",46%
291,Music Production & Engineering,Bachelors,"$53,400","$104,200",50%
291,Urban Planning,Bachelors,"$56,100","$104,200",53%
294,Cell & Molecular Biology,Bachelors,"$58,100","$104,000",67%
294,Safety Management,Bachelors,"$67,500","$104,000",67%
296,Manufacturing Engineering Technology,Bachelors,"$74,900","$103,500",50%
297,Advertising,Bachelors,"$53,500","$103,400",33%
298,Marketing Management,Bachelors,"$58,700","$103,300",40%
298,Insurance,Bachelors,"$63,400","$103,300",51%
300,Occupational Therapy (OT),Bachelors,"$60,700","$103,200",87%
301,Applied Computer Science,Bachelors,"$74,000","$103,000",42%
302,Geology,Bachelors,"$56,000","$102,800",55%
302,Meteorology,Bachelors,"$53,100","$102,800",55%
304,Electronic Systems Technology (EST),Bachelors,"$86,900","$102,600",44%
304,Environmental Design,Bachelors,"$54,000","$102,600",53%
304,Radiation Therapy,Bachelors,"$76,100","$102,600",91%
307,Latin American Studies,Bachelors,"$53,200","$102,500",61%
307,Logistics,Bachelors,"$66,400","$102,500",40%
307,Transportation & Logistics Management,Bachelors,"$65,800","$102,500",49%
310,Applied Technology,Bachelors,"$65,500","$102,300",49%
311,Environmental Health,Bachelors,"$56,900","$102,200",69%
312,Design,Bachelors,"$60,500","$102,000",39%
313,Computer Graphics Technology (CGT),Bachelors,"$55,100","$101,800",44%
313,Crop Science,Bachelors,"$54,700","$101,800",56%
315,Industrial Psychology,Bachelors,"$56,400","$101,500",50%
316,Entrepreneurship,Bachelors,"$61,500","$101,300",47%
316,German Studies,Bachelors,"$57,500","$101,300",46%
316,Neuroscience,Bachelors,"$58,900","$101,300",60%
319,Computer & Network Administration,Bachelors,"$64,500","$101,200",46%
319,Financial Accounting,Bachelors,"$63,500","$101,200",49%
319,Food Science,Bachelors,"$60,400","$101,200",48%
319,Microbiology,Bachelors,"$54,800","$101,200",69%
323,Digital Media Design,Bachelors,"$52,200","$101,000",28%
323,Agronomy,Bachelors,"$55,200","$101,000",65%
325,Accounting & Management,Bachelors,"$62,600","$100,600",50%
325,Aeronautics,Bachelors,"$69,600","$100,600",62%
325,Business Communication,Bachelors,"$57,900","$100,600",47%
328,Urban & Regional Planning,Bachelors,"$59,600","$100,500",60%
329,Global Business Management,Bachelors,"$63,800","$100,100",53%
329,Police Science,Bachelors,"$61,500","$100,100",-
331,Math & Science,Bachelors,"$63,900","$100,000",64%
332,Corporate Communications,Bachelors,"$54,700","$99,900",45%
333,Political Science/Public Law,Bachelors,"$59,200","$99,800",69%
334,Accounting Information Systems,Bachelors,"$70,900","$99,700",56%
334,Anthropology & English,Bachelors,"$53,800","$99,700",-
334,Organizational Psychology,Bachelors,"$56,400","$99,700",51%
337,Advertising & Marketing Communications,Bachelors,"$54,900","$99,200",38%
337,Entomology,Bachelors,"$49,900","$99,200",-
339,Product Design Engineering,Bachelors,"$73,500","$99,100",41%
340,Personal Financial Planning,Bachelors,"$60,400","$99,000",60%
341,Biological Sciences,Bachelors,"$56,400","$98,900",68%
341,Pre-law,Bachelors,"$52,900","$98,900",50%
343,Textile Technology,Bachelors,"$60,400","$98,800",37%
344,Strategic Communication,Bachelors,"$52,900","$98,700",42%
344,Technology,Bachelors,"$63,200","$98,700",-
346,Environmental Science,Bachelors,"$55,800","$98,600",61%
347,International Studies,Bachelors,"$56,200","$98,500",50%
348,Cinema Studies,Bachelors,"$53,200","$98,300",37%
349,Professional & Technical Writing,Bachelors,"$54,800","$98,200",47%
350,Automotive Technology,Bachelors,"$55,400","$97,800",52%
351,New Media Design,Bachelors,"$63,100","$97,700",28%
351,Theatre & Drama Studies,Bachelors,"$53,100","$97,700",50%
351,Information Systems Security,Bachelors,"$64,800","$97,700",47%
354,Aviation Maintenance Technology,Bachelors,"$57,300","$97,500",60%
354,Organizational Development,Bachelors,"$60,800","$97,500",55%
356,Financial Management,Bachelors,"$62,700","$97,400",53%
356,International Trade & Business,Bachelors,"$61,500","$97,400",29%
356,Textile & Apparel Studies,Bachelors,"$53,300","$97,400",25%
356,Toxicology,Bachelors,"$53,900","$97,400",-
360,Construction Engineering Technology,Bachelors,"$63,800","$97,200",60%
361,Advertising & Marketing,Bachelors,"$55,200","$97,100",38%
361,English Literature,Bachelors,"$53,800","$97,100",46%
363,Advertising & Promotion,Bachelors,"$53,400","$97,000",46%
364,Agricultural Science,Bachelors,"$53,800","$96,900",55%
364,Fashion Design,Bachelors,"$53,900","$96,900",27%
364,Hydrology,Bachelors,"$53,400","$96,900",-
367,Technical Management,Bachelors,"$72,300","$96,800",66%
368,Electronics & Computer Technology,Bachelors,"$60,500","$96,600",-
369,French Studies,Bachelors,"$59,000","$96,500",58%
369,Magazine Journalism,Bachelors,"$54,300","$96,500",37%
369,Management,Bachelors,"$58,100","$96,500",49%
369,Sociology & Organizational Studies,Bachelors,"$61,400","$96,500",55%
373,International Affairs,Bachelors,"$58,300","$96,300",51%
373,Business Administration,Bachelors,"$60,200","$96,300",51%
375,Finance & Marketing,Bachelors,"$67,800","$96,200",41%
375,Land Surveying,Bachelors,"$58,200","$96,200",56%
377,Journalism & Mass Communication,Bachelors,"$52,800","$96,100",44%
378,Business Management,Bachelors,"$58,700","$95,900",52%
378,Speech & Drama,Bachelors,"$45,100","$95,900",-
380,Agribusiness Management,Bachelors,"$58,700","$95,600",43%
380,Digital Media,Bachelors,"$52,000","$95,600",38%
382,Drama,Bachelors,"$55,600","$95,500",43%
382,Linguistics,Bachelors,"$58,600","$95,500",42%
384,Architectural Engineering Technology,Bachelors,"$56,800","$95,400",49%
384,General Science,Bachelors,"$56,300","$95,400",58%
386,Pre-Medicine,Bachelors,"$57,200","$95,300",69%
387,Business Administration & Accounting,Bachelors,"$59,500","$95,200",54%
387,History & Politics,Bachelors,"$55,300","$95,200",58%
387,Nursing Science,Bachelors,"$75,600","$95,200",84%
390,Global Business,Bachelors,"$62,000","$95,100",31%
390,Integrated Marketing Communications,Bachelors,"$53,500","$95,100",38%
392,American History (United States),Bachelors,"$58,900","$94,900",49%
393,Architectural Studies,Bachelors,"$50,900","$94,800",38%
393,Communication,Bachelors,"$54,800","$94,800",46%
393,Personnel Management,Bachelors,"$57,900","$94,800",68%
396,General Business,Bachelors,"$56,300","$94,700",51%
396,Interior Architecture,Bachelors,"$53,500","$94,700",48%
396,Public Affairs,Bachelors,"$59,400","$94,700",52%
396,Natural Sciences,Bachelors,"$49,500","$94,700",54%
400,Writing,Bachelors,"$49,900","$94,600",44%
401,Human Biology,Bachelors,"$57,400","$94,500",72%
401,Marketing & Mass Communications,Bachelors,"$53,700","$94,500",40%
401,Computer Art,Bachelors,"$44,600","$94,500",33%
404,French Language,Bachelors,"$56,100","$94,100",48%
404,Journalism,Bachelors,"$52,300","$94,100",44%
406,Interpersonal & Organizational Communication,Bachelors,"$47,500","$94,000",72%
406,Organizational Communication,Bachelors,"$52,400","$94,000",48%
406,Textile Design,Bachelors,"$56,200","$94,000",36%
409,Biology & Chemistry,Bachelors,"$55,700","$93,900",66%
409,Nursing,Bachelors,"$73,100","$93,900",82%
409,Public Relations & Communication,Bachelors,"$51,700","$93,900",48%
412,Environmental & Natural Resource Economics,Bachelors,"$58,600","$93,700",66%
413,Biology,Bachelors,"$53,500","$93,600",65%
413,Environmental Management,Bachelors,"$57,500","$93,600",63%
413,General & Strategic Management,Bachelors,"$56,800","$93,600",52%
416,Bachelor in Science Nursing,Bachelors,"$73,700","$93,400",80%
416,History,Bachelors,"$54,300","$93,400",47%
418,Literature,Bachelors,"$53,200","$93,300",45%
419,Law,Bachelors,"$59,900","$93,200",51%
420,Physiology,Bachelors,"$55,500","$93,100",66%
421,Entrepreneurial Studies,Bachelors,"$54,800","$93,000",32%
421,Public Relations (PR),Bachelors,"$51,800","$93,000",43%
421,Retail Management,Bachelors,"$60,400","$93,000",39%
424,Computer Aided Drafting & Design (CADD),Bachelors,"$56,300","$92,900",49%
424,Management & Organization,Bachelors,"$78,600","$92,900",55%
424,Agriculture,Bachelors,"$53,600","$92,900",62%
424,Music Technology,Bachelors,"$50,900","$92,900",38%
428,Administration of Justice,Bachelors,"$51,300","$92,800",53%
428,Publishing,Bachelors,"$52,000","$92,800",40%
428,Urban Studies,Bachelors,"$57,700","$92,800",60%
431,Media Studies,Bachelors,"$57,000","$92,700",38%
432,Apparel & Textile Manufacture,Bachelors,"$54,200","$92,600",31%
432,Philosophy & Religion,Bachelors,"$51,300","$92,600",54%
434,Environmental Geography,Bachelors,"$55,900","$92,500",54%
435,Communication Studies & Journalism,Bachelors,"$51,200","$92,300",46%
435,Interpersonal Communications,Bachelors,"$50,200","$92,300",48%
435,Logistics Management,Bachelors,"$66,000","$92,300",38%
435,Retail & Consumer Science,Bachelors,"$58,800","$92,300",27%
435,Web Design & Development,Bachelors,"$60,100","$92,300",44%
440,Accounting & Business,Bachelors,"$58,700","$92,200",49%
440,Architectural Technology,Bachelors,"$55,700","$92,200",62%
440,Geographic Information Systems (GIS),Bachelors,"$56,100","$92,200",53%
443,Environmental Studies,Bachelors,"$55,000","$92,100",59%
443,Interactive Media,Bachelors,"$61,300","$92,100",39%
445,Retail Merchandising,Bachelors,"$59,000","$91,900",36%
446,Diagnostic Medical Sonography,Bachelors,"$71,700","$91,800",86%
447,Agricultural Business,Bachelors,"$61,400","$91,600",58%
447,Network Administration,Bachelors,"$54,400","$91,600",54%
449,Environmental Biology,Bachelors,"$50,500","$91,300",69%
449,Dental Hygiene,Bachelors,"$81,200","$91,300",81%
451,Journalism & Electronic Media,Bachelors,"$51,400","$91,200",46%
451,Web & Digital Media Development,Bachelors,"$60,400","$91,200",35%
451,Workforce Education & Development,Bachelors,"$67,100","$91,200",73%
454,Diagnostic Medical Ultrasound,Bachelors,"$73,800","$91,100",71%
454,Health Policy & Administration,Bachelors,"$57,300","$91,100",63%
